OilRate,WaterRate,GasRate,GOR,TBGTemp,TBGPress,DiffPress,Temperature,Pressure
4025,439,5094,1265,209,297,237,182,205
2818,316,3484,1237,209,294,1,108,190
2869,293,2944,1026,85,404,1,80,182
4018,435,4772,1188,207,276,336,103,213
4035,436,4819,1194,208,281,229,104,209
4035,431,4811,1192,208,279,110,77,208
4023,433,4867,1210,209,284,89,107,208
4028,433,5018,1246,209,281,765,163,219
4045,435,4980,1231,209,287,319,188,213
4052,446,4882,1205,209,286,1104,167,224
4237,0,4290,1012,209,285,761,169,218
4216,0,4304,1021,209,287,968,167,220
4205,0,4388,1043,209,300,57,97,195
4161,0,4264,1025,209,294,62,97,211
1171,0,791,675,199,279,16,80,196
4152,0,2687,647,206,269,3,78,50
4187,0,4364,1042,208,285,1,81,125
4237,0,4743,1120,208,280,1,78,123
4290,0,4804,1120,208,283,1,81,122
4096,0,4311,1052,209,290,1,81,91
4161,0,4273,1027,209,296,1898,158,249
4128,0,4338,1051,208,282,1,81,210
4150,0,4229,1019,209,293,1,81,215
4143,0,4245,1025,209,302,466,84,226
4148,0,4304,1038,209,291,1,80,215
4165,0,4307,1034,209,297,137,59,219
4122,0,4263,1034,209,292,1,77,214
4106,0,4307,1049,209,297,43,105,222
4146,0,4319,1042,209,295,1,79,209
4272,0,4386,1027,209,289,425,70,216
4253,0,4399,1034,209,287,1225,83,232
4229,0,4229,1000,209,282,569,80,218
4300,0,4461,1037,209,281,0,81,211
4268,0,4452,1043,209,289,1,82,209
4321,0,4556,1054,210,289,3571,115,267
4292,0,4546,1059,209,288,1,79,219
4250,0,4537,1068,209,288,1,77,215
4311,0,4616,1071,209,288,1,82,218
4337,0,4694,1082,210,287,1094,95,245
4310,0,4694,1089,210,287,1,94,241
4506,0,4918,1091,210,287,1,82,170
4216,7,4301,1020,210,293,10,82,261
4203,6,4324,1029,210,294,363,53,275
4245,7,4563,1075,209,294,1,80,267
4247,7,4573,1077,210,291,36,67,266
4240,7,4559,1075,210,291,244,48,278
4246,7,4391,1034,210,287,13,71,265
4278,7,4343,1015,209,288,1,80,260
4259,7,4364,1025,209,293,0,81,269
4256,7,4407,1036,210,292,64,70,275
4287,7,4602,1074,209,291,25,74,272
4282,7,4808,1123,209,287,13,74,272
4290,7,4970,1159,210,288,534,51,283
4288,7,5124,1195,210,284,3303,79,332
4286,7,5219,1218,209,280,157,124,305
4287,7,5691,1327,210,291,608,145,286
4279,7,5712,1335,209,277,4767,186,475
4316,7,5313,1231,210,292,14,117,308
4262,7,5395,1266,209,283,274,187,334
4279,7,5399,1262,210,286,70,153,323
4290,7,5361,1250,211,284,3030,137,459
4277,7,5354,1252,211,285,17,136,319
4306,7,5475,1272,210,285,404,181,321
4282,7,5077,1186,211,278,83,71,320
4139,7,5335,1289,211,282,2576,146,350
4204,7,5181,1232,211,287,18,114,318
4236,7,5032,1188,210,279,25,115,313
4232,7,5032,1189,211,278,69,173,320
4245,7,5037,1186,210,285,91,71,315
3559,6,4231,1189,211,279,89,69,316
3701,6,4377,1183,210,282,980,176,328
2957,5,3504,1185,210,281,11,78,314
3153,512,3222,1022,208,278,112,170,321
3149,511,3207,1018,210,280,1202,167,330
3146,513,3215,1022,210,282,990,176,333
2896,467,2993,1034,209,279,77,116,321
3120,503,3190,1022,209,280,103,169,318
3106,504,3183,1025,209,282,17,113,316
2489,405,2562,1029,209,285,85,86,314
1233,195,1251,1014,209,281,129,143,316
2927,466,2932,1002,82,218,306,140,321
3142,502,3138,999,208,274,71,146,311
3164,508,3142,993,209,274,330,179,322
3186,504,3156,991,209,275,746,182,326
3168,515,3149,994,208,273,335,175,316
3056,506,3374,1104,208,272,387,178,315
3064,510,3765,1229,209,281,799,180,226
3038,506,3658,1204,209,286,839,180,232
1645,286,2054,1249,209,272,23,76,187
2922,516,3355,1148,207,251,37,75,194
1833,337,1961,1070,209,271,130,65,200
2961,485,3447,1164,204,470,128,63,200
3063,510,3096,1011,208,275,18,56,310
3114,513,3024,971,209,274,34,56,309
3158,497,3081,975,208,270,35,60,309
3205,510,3103,968,209,291,33,42,310
3223,517,3104,963,209,290,1,81,309
2907,472,2794,961,209,283,1,83,306
3201,510,3084,963,209,277,2,83,303
3204,507,3251,1015,209,282,4,77,303
3191,500,3245,1017,209,279,1,83,302
3604,558,3401,944,209,273,1,79,306
3602,564,3394,942,209,286,2411,142,332
3607,563,3404,944,209,274,221,145,242
3605,564,3446,956,209,274,138,108,304
3602,570,3468,963,209,276,981,158,314
3598,571,3494,971,209,271,1,80,301
3592,572,3404,947,209,274,1,80,301
3592,573,3429,955,209,270,1,81,302
3599,579,3501,973,209,278,1,104,298
3552,574,3631,1022,209,277,441,114,247
3599,571,3582,995,209,275,173,149,243
3605,565,3555,986,209,277,136,147,249
3599,563,3598,1000,209,287,1144,183,459
3600,568,3652,1014,209,275,4,136,238
3604,568,3509,974,209,282,87,73,279
3566,563,3584,1005,209,275,120,79,282
3599,564,3644,1012,209,281,2,79,273
3603,564,3364,934,209,278,2,81,271
3620,565,3394,938,209,275,8,137,307
3478,545,3303,950,209,282,136,176,311
3475,552,3281,944,209,285,276,88,313
3509,553,3286,936,209,280,89,118,307
3518,549,3307,940,209,282,277,113,316
3534,548,3289,931,209,282,294,88,314
3522,550,3285,933,209,289,1137,174,328
3514,548,3282,934,209,278,129,147,307
3523,551,3281,931,209,282,393,148,309
3527,554,3280,930,209,288,123,143,305
3516,555,3273,931,209,284,901,182,323
3517,557,3248,923,209,287,4454,145,375
3507,548,3272,933,209,284,91,69,305
3426,435,3581,1045,209,279,97,75,307
3405,433,3581,1052,209,290,298,91,308
3392,434,3575,1054,209,284,2275,182,480
3428,433,3589,1047,209,279,2983,146,372
3429,443,3594,1048,209,279,3025,149,403
3447,454,3652,1060,209,282,71,81,302
3404,467,3636,1068,209,283,94,76,303
3404,469,3632,1067,209,278,12,100,296
3403,472,3630,1067,209,281,96,75,299
3404,474,3650,1072,209,279,83,73,305
3402,479,3652,1074,209,289,99,73,303
3398,474,3921,1154,209,282,3,158,302
3400,477,3765,1107,209,277,4754,151,415
3399,479,3612,1062,209,278,4661,146,384
3402,481,3431,1009,209,276,4661,146,382
3405,481,3618,1062,209,279,3484,182,478
3400,474,3611,1062,211,287,4066,147,359
3387,480,3527,1042,210,280,4071,146,382
3387,476,3379,998,211,280,215,96,211
3731,525,3375,905,211,303,4368,156,424
3727,523,3375,905,210,295,3361,132,341
3727,523,3373,905,210,291,3410,133,340
3745,517,3383,903,210,291,3415,133,340
3788,511,3422,903,210,286,3427,133,339
3786,515,3823,1010,210,276,3427,133,337
3782,496,3410,901,210,290,3,155,282
3834,497,3437,896,210,281,5,179,299
3819,508,3575,936,209,280,100,74,292
3788,508,3723,983,209,292,50,143,246
3718,512,3145,846,209,288,120,70,238
3185,375,2728,857,209,286,114,70,242
3205,376,2872,896,209,281,168,138,225
3191,374,2912,913,209,290,2767,142,267
3287,365,3001,913,209,283,504,152,311
3280,372,2991,912,209,282,7,136,304
3280,369,2971,906,209,279,874,158,317
3290,363,2981,906,209,278,3647,133,346
3249,364,2962,912,209,278,1995,155,409
3246,367,2956,911,209,283,2,79,294
3248,372,2945,907,209,281,9,77,292
3250,371,2935,903,209,281,109,106,296
3245,377,2936,905,209,281,176,123,295
3249,371,2942,905,209,280,488,141,297
3255,375,2975,914,209,283,14,75,292
2524,284,2016,799,208,282,10,78,290
3322,739,2737,824,205,255,3,81,197
3225,366,4220,1308,207,279,12,76,276
3224,387,2863,888,207,268,12,75,280
3230,381,2916,903,208,280,12,75,286
3009,356,2732,908,208,281,13,73,284
3238,386,2977,919,208,283,11,75,290
3251,386,2965,912,208,283,12,76,288
3239,388,2977,919,208,281,13,76,285
3243,387,2986,921,208,282,101,68,292
3242,379,2984,921,208,287,395,61,296
3247,384,2973,916,208,286,103,69,288
3247,386,2848,877,208,277,107,68,289
3263,382,2992,917,208,284,7,77,287
3262,378,2981,914,208,281,7,74,287
3262,376,2987,916,208,283,7,74,290
3258,375,2989,917,208,277,393,110,298
3480,395,3137,902,208,279,177,110,293
3479,401,3137,902,208,280,51,122,291
3478,400,3132,900,208,280,310,146,295
3479,398,3128,899,208,284,149,139,290
3504,397,3138,895,208,283,327,89,295
3502,396,3166,904,208,283,1142,164,306
3553,402,3162,890,208,281,7,79,287
3509,394,3101,884,208,284,6,74,289
3526,397,3109,882,208,284,39,118,287
3513,396,3102,883,208,283,440,137,301
3492,396,3107,890,208,278,134,135,288
3499,391,3104,887,208,282,76,135,286
3509,393,3101,884,208,281,2,74,287
3497,391,3120,892,208,283,2,74,284
3499,394,3111,889,208,284,16,74,286
3496,395,3094,885,208,281,18,74,286
3494,405,3103,888,208,282,17,75,285
3493,389,3317,950,208,283,17,75,284
2317,240,1776,767,208,280,2,76,240
3526,476,2933,832,206,265,2,76,276
3544,386,3147,888,207,283,2,76,294
2879,315,2489,864,207,284,2,75,296
3486,389,3087,886,207,281,2,75,285
3505,384,3131,893,208,279,75,59,285
3494,384,3084,883,208,279,72,54,298
3491,384,3087,884,208,278,71,54,290
3494,388,3088,884,207,282,75,63,287
3490,387,3089,885,207,279,75,60,289
3490,389,3090,885,207,280,77,59,285
3489,388,3090,886,208,281,68,55,288
3372,371,3041,902,208,282,72,58,289
3371,371,3055,906,208,289,162,145,293
3370,370,3055,906,208,284,317,89,298
3369,370,2957,878,208,277,77,117,290
3368,377,3008,893,208,281,952,157,309
3368,374,3077,914,207,283,33,116,289
3365,393,3065,911,208,282,345,88,294
3365,393,3059,909,207,266,1098,159,305
3370,393,3021,897,208,279,76,57,285
3376,388,3042,901,207,278,82,62,286
3363,397,3033,902,207,280,86,63,287
3361,396,3034,903,207,280,83,62,291
3343,399,3058,915,208,282,76,120,285
3347,398,3058,914,207,275,131,147,286
3343,395,3053,913,210,278,333,87,292
3347,398,3040,908,210,282,350,87,287
3347,397,2997,895,210,282,344,88,287
3343,400,3031,907,209,280,327,87,292
3347,403,3031,906,209,283,332,87,294
